qa,context
what is the difference between the cancellation and revocation clauses?,"(Including any instrument by which any instrument previously executed is cancelled) if attested and not otherwise provided for,     See also RELEASE (No.55) REVOCATION OF SETTLEMENT (No. 58-B) SURRENDER OF LEASE (No.61) REVOCATION OF "
what is the maximum purchase amount for a property sold by public auction?,"  (In respect of each  property put up as  a separate lot and sold), granted to the purchaser of any property sold by public auction by a Civil or Revenue Court or Collector or the Revenue Officer—    (a) Where the purchase money does not exceed Rs. 10    (b) Where the purchase money exceeds Rs. 10,00 but does not exceed Rs. 25.  (c) In any other case *                                *                                    * "
what is a charter agreement?,"—that is to say, any instrument (Except an agreement for the hire of a tug-steamer), whereby a vessel or some specified principal part thereof is let for the specified purposes of the charterer whether it includes a penalty clause or not.   *                             *                                    * "
what is a ship charter agreement?,"—that is to say, any instrument (Except an agreement for the hire of a tug-steamer), whereby a vessel or some specified principal part thereof is let for the specified purposes of the charterer whether it includes a penalty clause or not.   *                             *                                    * "
"what is a ""conveyance""?","— that is to say, any instrument executed by a debtor, whereby he conveys his property for the benefit of his creditors, or whereby payment of a composition or dividend or their debts is secured to the creditors, or when by provision is made for the continuance of the debtors business under the supervision of inspectors or under letters of license, for the benefit of his creditors. "
"what is a ""debtor""?","— that is to say, any instrument executed by a debtor, whereby he conveys his property for the benefit of his creditors, or whereby payment of a composition or dividend or their debts is secured to the creditors, or when by provision is made for the continuance of the debtors business under the supervision of inspectors or under letters of license, for the benefit of his creditors. "
"what is a ""dividend""?","— that is to say, any instrument executed by a debtor, whereby he conveys his property for the benefit of his creditors, or whereby payment of a composition or dividend or their debts is secured to the creditors, or when by provision is made for the continuance of the debtors business under the supervision of inspectors or under letters of license, for the benefit of his creditors. "
"what is a ""composition""?","— that is to say, any instrument executed by a debtor, whereby he conveys his property for the benefit of his creditors, or whereby payment of a composition or dividend or their debts is secured to the creditors, or when by provision is made for the continuance of the debtors business under the supervision of inspectors or under letters of license, for the benefit of his creditors. "
"what is a ""creditor""?","— that is to say, any instrument executed by a debtor, whereby he conveys his property for the benefit of his creditors, or whereby payment of a composition or dividend or their debts is secured to the creditors, or when by provision is made for the continuance of the debtors business under the supervision of inspectors or under letters of license, for the benefit of his creditors. "
"what is a ""letter of license""?","— that is to say, any instrument executed by a debtor, whereby he conveys his property for the benefit of his creditors, or whereby payment of a composition or dividend or their debts is secured to the creditors, or when by provision is made for the continuance of the debtors business under the supervision of inspectors or under letters of license, for the benefit of his creditors. "
what is the duty on a conveyance?,..The same duty as a CONVEYANCE  (No.23) for  a  consideration equal to the  amount of the purchase  money only. *                                     *  Four rupees 
how much is the duty on a conveyance?,..The same duty as a CONVEYANCE  (No.23) for  a  consideration equal to the  amount of the purchase  money only. *                                     *  Four rupees 
what is the maximum amount that can be paid through cashless transactions?,"           (a) Where the amount does not exceed             Rs. 1,000.            (b) In any other case          *                                          * "
what is the purpose of declaring any trust?,"     DECLARATION OF ANY TRUST- See TRUST (No.64).           *                                         * DEPOSIT OF TITLE-DEEDS—See AGREEMENT relating to DEPOSIT OF TITLE-DEEDS, PAWN OR PLEDGE (No.6).      DISSOLUTION OF PARTNERSHIP-See PARTNERSHIP (No. 46). "
what is the purpose of depositing title-deeds?,"     DECLARATION OF ANY TRUST- See TRUST (No.64).           *                                         * DEPOSIT OF TITLE-DEEDS—See AGREEMENT relating to DEPOSIT OF TITLE-DEEDS, PAWN OR PLEDGE (No.6).      DISSOLUTION OF PARTNERSHIP-See PARTNERSHIP (No. 46). "
what is the purpose of a divorce decree?,"- Instrument of, that is to say, instrument by which any person effects the dissolution of his marriage.      DOWER- Instrument of –See SETTLEMENT (No.58).     DUPLICATE- See COUNTERPART (No. 25). "
what is the difference between a divorce and a separation agreement?,"- Instrument of, that is to say, instrument by which any person effects the dissolution of his marriage.      DOWER- Instrument of –See SETTLEMENT (No.58).     DUPLICATE- See COUNTERPART (No. 25). "
what is the difference between a mortgage with and without possession?,"— Instrument of that is to say, any  instrument imposing a further charge on mortgaged  property—     (a) When the original mortagage  is one of the description referred to in clause (a) Article No. 40 (That is, with possession);          (b) When such mortage is one of the descriptions referred to in clause (b) of Article No . 40 ( That is, without possession)—          (i) if at the time of execution of the instrument of further charge  possession of the property is given or agreed to be given under such instrument;           (ii) If the possession is not so given. "
what is the duty as a bottomry bond (no. 16) for such amount?,"The same duty as a BOTTOMRY BOND  (No. 16) for such amount, Nineteen rupees *                               *                           * *                                *                           * Four rupees The same duty as a CONVEYANCE (No. 23) for a consideration equal to the value of the property of greatest value as set forth in such instrument. The same duty as a CONVEYANCE ( No. 23) for a consideration equal to the amount of the further charge secured by such instrument. The same duty as a CONVEYANCE (No. 23) for a consideration equal to the total amount of the charge (including the original mortgage and any further charge already made) less the duty already paid on such original mortgage and further charge. The same duty as a BOTTOMRY BOND  (No. 16) for the amount of the further charge secured by such instrument; "
what is the difference between a lease and a lease-to-sell agreement?,"(viii) Where the lease does not purport to be for any definite term; (b)Where the lease is granted for a fine or premium, or for money advanced and where no rent is reserved; (c)Where the lease is granted for a time or "
what is the difference between a lease and a lease-to-buy agreement?,"(viii) Where the lease does not purport to be for any definite term; (b)Where the lease is granted for a fine or premium, or for money advanced and where no rent is reserved; (c)Where the lease is granted for a time or "
what is the difference between a premium and a rent advance?,"premium, or for money advanced in addition to rent reserved. "
what is the maximum annual rent reserved for an exemption lease?,"                               Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is the term of an exemption lease?,"                               Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is the maximum term of an exemption lease?,"                               Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is an exemption lease?,"                               Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is the purpose of an exemption lease?,"                               Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is the average annual rent reserved for an exemption lease?,"                               Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is the difference between a debtor and a creditor?," that is to say, any agreement between a debtor and  his creditors that the latter shall, for a specified time, suspend  their claims and allow the debtor to carry on business at his own discretion. "
what is a debt settlement agreement?," that is to say, any agreement between a debtor and  his creditors that the latter shall, for a specified time, suspend  their claims and allow the debtor to carry on business at his own discretion. "
what is the purpose of a debt settlement agreement?," that is to say, any agreement between a debtor and  his creditors that the latter shall, for a specified time, suspend  their claims and allow the debtor to carry on business at his own discretion. "
how much is the duty on a lease if no premium or advance is paid?,"or value of such fine or premium , or advance as set forth in the lease. The same duty as a CONVEYANCE (No.23) for a consideration equal to the amount or value of such fine or  premium, or advances as set forth in the lease, in addition to the duty which would have been payable on such lease, if no fine or premium or advance had been paid or delivered: Provided that, in any case when an agreement to lease is stamped with the ad valorem stamp required for a lease, and a lease in pursuance of such agreement is subsequently executed, the duty on such lease shall not exceed one rupee and fifty paise.  Thirty rupees "
what is the difference between an exemption memo and an articles of association?,"(a)  if accompanied by articles of association  under section 26 of the Companies Act, 1956  (1 of 1956). (b) if not so accompanied                             Exemption       Memorandum of any association not formed for profit and registered under section 25 of the Companies Act, 1956 (1 of 1956). "
what is the difference between an association and a company?,"(a)  if accompanied by articles of association  under section 26 of the Companies Act, 1956  (1 of 1956). (b) if not so accompanied                             Exemption       Memorandum of any association not formed for profit and registered under section 25 of the Companies Act, 1956 (1 of 1956). "
what is the difference between an exemption memo and an exemption certificate?,"(a)  if accompanied by articles of association  under section 26 of the Companies Act, 1956  (1 of 1956). (b) if not so accompanied                             Exemption       Memorandum of any association not formed for profit and registered under section 25 of the Companies Act, 1956 (1 of 1956). "
what is the difference between an exemption certificate and an exemption memo?,"(a)  if accompanied by articles of association  under section 26 of the Companies Act, 1956  (1 of 1956). (b) if not so accompanied                             Exemption       Memorandum of any association not formed for profit and registered under section 25 of the Companies Act, 1956 (1 of 1956). "
what is the difference between a mortgage and a deed of trust?,(a)  when possession of the property or any part of the property comprised in such  deed is given by the mortgagor  or agreed to be given. (b) when possession is not given or agreed to be given as aforesaid. 
what is the difference between a collateral and a substituted security?,"— A mortgagor who gives to the mortgagee  a power-of-attorney to collect rents or a lease of the property mortgaged or part thereof, is deemed to give possession within the meaning of this article.     (C) When a collateral or auxiliary or additional or substituted security, or by way of further assurance for the Where  the principal or primary security is duly stamped for every sum secured not exceeding Rs. 1, 000;  and For every sum secured not exceeding Rs. 1,000 and for every Rs. 1,000 or part thereof secured in excess Rs. 1,000. "
what is the difference between a mortgage and a power-of-attorney?,"— A mortgagor who gives to the mortgagee  a power-of-attorney to collect rents or a lease of the property mortgaged or part thereof, is deemed to give possession within the meaning of this article.     (C) When a collateral or auxiliary or additional or substituted security, or by way of further assurance for the Where  the principal or primary security is duly stamped for every sum secured not exceeding Rs. 1, 000;  and For every sum secured not exceeding Rs. 1,000 and for every Rs. 1,000 or part thereof secured in excess Rs. 1,000. "
what is the difference between a primary and a secondary security?,"— A mortgagor who gives to the mortgagee  a power-of-attorney to collect rents or a lease of the property mortgaged or part thereof, is deemed to give possession within the meaning of this article.     (C) When a collateral or auxiliary or additional or substituted security, or by way of further assurance for the Where  the principal or primary security is duly stamped for every sum secured not exceeding Rs. 1, 000;  and For every sum secured not exceeding Rs. 1,000 and for every Rs. 1,000 or part thereof secured in excess Rs. 1,000. "
what is the difference between a letter of hypothecation and a bill of exchange?,"(1) Instruments executed by persons taking  advances under the Land Improvement Loans Act, 1883 (12 of 1883) or the Agriculturists Loans Act, 1884 (19 of 1884), or by their  sureties as  security for the repayment of such advances; (2) Letter of hypothecation accompanying a bill of exchange. "
what is the purpose of the agriculturists loans act?,"(1) Instruments executed by persons taking  advances under the Land Improvement Loans Act, 1883 (12 of 1883) or the Agriculturists Loans Act, 1884 (19 of 1884), or by their  sureties as  security for the repayment of such advances; (2) Letter of hypothecation accompanying a bill of exchange. "
what is the purpose of the land improvement loans act?,"(1) Instruments executed by persons taking  advances under the Land Improvement Loans Act, 1883 (12 of 1883) or the Agriculturists Loans Act, 1884 (19 of 1884), or by their  sureties as  security for the repayment of such advances; (2) Letter of hypothecation accompanying a bill of exchange. "
how much is the duty on a bottomry bond?,Sixty  rupees One hundred and fifty-five rupees The same duty as a CONVEYANCE (No. 23) for a consideration equal to the amount secured by such deed. The same duty as a BOTTOMRY BOND (No. 16) for the amount secured by such deed. One rupee and fifty paise One rupee and fifty paise 
how much is the duty on a conveyance?,Sixty  rupees One hundred and fifty-five rupees The same duty as a CONVEYANCE (No. 23) for a consideration equal to the amount secured by such deed. The same duty as a BOTTOMRY BOND (No. 16) for the amount secured by such deed. One rupee and fifty paise One rupee and fifty paise 
what is the purpose of the dissolution of the pawn or pledge agreement?,B—Dissolution of —       PAWN OR PLEDGE—See AGREEMENT RELATING TO DEPOSIT OF TITLE-DEEDS PAWN OR PLEDGE (No.6). 
what is the difference between a power of attorney and a proxy?," as defined by section 2(21) not being a proxy—  (a)   when executed for this sole purpose of procuring the registration of one or more documents in relation to a single transaction or for admitting execution of one or more such documents;   (b) when required in suits or proceedings under the Presidency Small  Cause Courts Act, 1882 (15 of 1882);  (c) when authorizing one person or more to act in a single transaction other than the case mentioned in clause (a); (d) when authorizing not more  than five persons "
what is the difference between a power of attorney and a power of attorney?," as defined by section 2(21) not being a proxy—  (a)   when executed for this sole purpose of procuring the registration of one or more documents in relation to a single transaction or for admitting execution of one or more such documents;   (b) when required in suits or proceedings under the Presidency Small  Cause Courts Act, 1882 (15 of 1882);  (c) when authorizing one person or more to act in a single transaction other than the case mentioned in clause (a); (d) when authorizing not more  than five persons "
what is the difference between the partition agreement and a legal separation agreement?,(a) When an instrument of partition containing an agreement to divide property in severalty is executed and a partition is effected in pursuance  of such agreement the duty chargeable upon the 
what is the purpose of the partition agreement?,(a) When an instrument of partition containing an agreement to divide property in severalty is executed and a partition is effected in pursuance  of such agreement the duty chargeable upon the 
what is the duty chargeable upon the parties involved in the partition agreement?,(a) When an instrument of partition containing an agreement to divide property in severalty is executed and a partition is effected in pursuance  of such agreement the duty chargeable upon the 
what is a notary public?,"  that is to say any declaration in writing made by a Notary Public, or other person lawfully acting as such, attesting the dishonor of a Bill of Exchange or Promissory Note. "
what is a dishonorable bill of exchange?,"  that is to say any declaration in writing made by a Notary Public, or other person lawfully acting as such, attesting the dishonor of a Bill of Exchange or Promissory Note. "
what is a promissory note?,"  that is to say any declaration in writing made by a Notary Public, or other person lawfully acting as such, attesting the dishonor of a Bill of Exchange or Promissory Note. "
what is the maximum amount of money that can be borrowed to buy a property?,"       (a) if the consideration for which the property was mortgaged does not exceed Rs. 1,000;       (b) in any other case "
what is the difference between a release and a cancellation?," that is to say, instrument not being such a release as is provided for by section (23-A.), whereby a person renounces a claim upon another  person or against any specified  property—          (a) if the amount or value of the claim does not exceed Rs. 1,000; "
what is the difference between a conveyance and registration?,"Thirty  rupees The same duty as a CONVEYACE (No.23) for the amount of consideration. Ten rupees for each person authorized N.B.—The term “Registration” includes every operation incidental to registration under the Indian Registration Act, 1908 (16 of 1908).                           * * "
how much does registration cost?,"Thirty  rupees The same duty as a CONVEYACE (No.23) for the amount of consideration. Ten rupees for each person authorized N.B.—The term “Registration” includes every operation incidental to registration under the Indian Registration Act, 1908 (16 of 1908).                           * * "
what is the difference between a registration and a conveyance?,"Thirty  rupees The same duty as a CONVEYACE (No.23) for the amount of consideration. Ten rupees for each person authorized N.B.—The term “Registration” includes every operation incidental to registration under the Indian Registration Act, 1908 (16 of 1908).                           * * "
what is the duty on a bottomry bond?,The same duty as a CONVEYANCE (No. 23) for the amount of such consideration as set forth in the reconveyance. Thirty  rupees The same duty as a BOTTOMRY BOND  (No. 16) for such amount or value as set 
what is the duty on a conveyance?,The same duty as a CONVEYANCE (No. 23) for the amount of such consideration as set forth in the reconveyance. Thirty  rupees The same duty as a BOTTOMRY BOND  (No. 16) for such amount or value as set 
what is the duty on a bond or mortgage deed?,       (i) if the duty on such bond or mortgage deed does not exceed seven rupees and fifty paise;      (ii) in any other case 
what is the difference between a delivery order and a warrant for goods?,"   Transfer by endorsement—     (b) of a delivery order, warrant for goods or other merchantile Document of title to goods; *  * * "
what is the process for transferring ownership of goods through endorsement?,"   Transfer by endorsement—     (b) of a delivery order, warrant for goods or other merchantile Document of title to goods; *  * * "
what is the definition of securities of the central government?,(d) of securities of the Central Government.        See also section 8— 
what is the difference between assigning and under-leasing?, by way assignment and not by way of under lease.                         Exemptions     Transfer of any lease exempt from duty— 
what is the difference between a will and a power of attorney?, –of concerning any property when made by any writing not being a will. 
what is the difference between a will and a trust?,—of or concerning any property when made by an instrument other than a will. See also SETTLEMENT (No.8) 
"what is the difference between a ""title instrument"" and a ""title deed""?"," that is to say, any instrument evidencing the title of any person therein named or his assigns, of the holder thereof, to the property in any goods lying in or upon any signed dock, warehouse or wharf, such instrument being or certified by or on behalf of the person in whose custody such goods may be.” "
"what is the difference between a ""title deed"" and a ""title instrument""?"," that is to say, any instrument evidencing the title of any person therein named or his assigns, of the holder thereof, to the property in any goods lying in or upon any signed dock, warehouse or wharf, such instrument being or certified by or on behalf of the person in whose custody such goods may be.” "
"what is the definition of a ""title instrument""?"," that is to say, any instrument evidencing the title of any person therein named or his assigns, of the holder thereof, to the property in any goods lying in or upon any signed dock, warehouse or wharf, such instrument being or certified by or on behalf of the person in whose custody such goods may be.” "
"what is the purpose of a ""title instrument""?"," that is to say, any instrument evidencing the title of any person therein named or his assigns, of the holder thereof, to the property in any goods lying in or upon any signed dock, warehouse or wharf, such instrument being or certified by or on behalf of the person in whose custody such goods may be.” "
how much is the duty on a bond or mortgage deed?,The duty with which such bond or mortgage deed is chargeable. Fifteen rupees Thirty  rupees Fifteen rupees or such smaller amount as may be chargeable under clause (c) of the article. * * * 
what is the duty on a bond or mortgage deed?,The duty with which such bond or mortgage deed is chargeable. Fifteen rupees Thirty  rupees Fifteen rupees or such smaller amount as may be chargeable under clause (c) of the article. * * * 
what is the duty on the transfer of property?,"The same duty as a CONVEYANCE (No.23) for a consideration equal to the amount of the consideration for the transfer. The same duty as BOTTOMRY BOND  (No. 16) for a sum equal to the amount or value of the property concerned, as set forth in the instrument, but not exceeding forty-five rupees. The same duty as a BOTTOMRY BOND (No. 16) for  a sum equal to the amount or value of the property concerned, as set forth in the instrument, but  not exceeding Thirty rupees. Eighty  paise "
"what was the purpose of the indian stamp act, 1899?","For Schedule 1-A of the Indian Stamp Act, 1899 (2 of 1899) "
what is the substituted schedule?,"(hereinafter referred to as the Principal Act), the following Schedule shall be substituted, namely:— "
what is the stamp duty on certain instruments under the indian stamp in india?,STAMP DUTY ON CETAIN INSTRUMENTS UNDER THE INDIAN STAMP (ORISSA 
what are the numbers of the articles in schedule 1-a?,Note—The articles in Schedule 1-A are numbered so as to correspond with similar articles in Schedule 1. 
what is the definition of tenders to the central government for goods or merchandise exclusively?,"goods or merchandise exclusively, not being a Note or Memorandum chargeable under No. 43. (b) Made in the form of tenders to the Central Government for, or relating to any loan.      "
what is the definition of note or memorandum chargeable under no. 43?,"goods or merchandise exclusively, not being a Note or Memorandum chargeable under No. 43. (b) Made in the form of tenders to the Central Government for, or relating to any loan.      "
what is the definition of goods or merchandise exclusively?,"goods or merchandise exclusively, not being a Note or Memorandum chargeable under No. 43. (b) Made in the form of tenders to the Central Government for, or relating to any loan.      "
what is an example of an instrument evidencing an agreement relating to?,", that is to say, any instrument evidencing an agreement relating to— "
what is a pledge?,"Where such deposit, pawn or pledge has been made by way of security for the repayment of money advanced or to be advanced by way of loan  or an existing or future debt— "
what is a deposit?,"Where such deposit, pawn or pledge has been made by way of security for the repayment of money advanced or to be advanced by way of loan  or an existing or future debt— "
what is a pawn?,"Where such deposit, pawn or pledge has been made by way of security for the repayment of money advanced or to be advanced by way of loan  or an existing or future debt— "
what is the average temperature in the city?,0.25 0.40 0.70 0.90 1.25 2.25 2.45 3.15 4.55 9.00 13.75 20.65 27.50 41.25 48.15 55.00 20.65 
what is the maximum amount of loan or debt that can be secured?,(b)if such  loan or debt is repayable not more than            Clause (a) for the amount secured. 
"what is the definition of mastering a profession, trade or employment?","master to learn any profession, trade or employment, not being ARTICLES OF "
what is the purpose of the apprentices act?,"CLERKSHIP.                                Exemption Instruments of apprenticeship executed by a Magistrate under the Apprentices Act, 1850 (19 of 1856) or by which a person is apprenticed by or at the charge of any public charity. "
what is the exemption from the apprentices act?,"CLERKSHIP.                                Exemption Instruments of apprenticeship executed by a Magistrate under the Apprentices Act, 1850 (19 of 1856) or by which a person is apprenticed by or at the charge of any public charity. "
what is the difference between an apprenticeship and a clerkship?,"CLERKSHIP.                                Exemption Instruments of apprenticeship executed by a Magistrate under the Apprentices Act, 1850 (19 of 1856) or by which a person is apprenticed by or at the charge of any public charity. "
what is the purpose of the memorandum of association of a company?,".                             Exception      Articles of any Association not formed for profit and registered under section 25 of the Companies Act, 1956 (1 of 1950). See also Memorandum of Association of a Company (No.39) ASSIGNMENT —See CONVEYANCE (No.23), TRANSFER (No.62) and TRANSFER of LEASE (No.63). as the case may be ATTORNEY-See Power-of-ATTORNEY (No.48) "
what is the difference between a transfer and a transfer of a company?,".                             Exception      Articles of any Association not formed for profit and registered under section 25 of the Companies Act, 1956 (1 of 1950). See also Memorandum of Association of a Company (No.39) ASSIGNMENT —See CONVEYANCE (No.23), TRANSFER (No.62) and TRANSFER of LEASE (No.63). as the case may be ATTORNEY-See Power-of-ATTORNEY (No.48) "
what is the difference between a transfer and a assignement?,".                             Exception      Articles of any Association not formed for profit and registered under section 25 of the Companies Act, 1956 (1 of 1950). See also Memorandum of Association of a Company (No.39) ASSIGNMENT —See CONVEYANCE (No.23), TRANSFER (No.62) and TRANSFER of LEASE (No.63). as the case may be ATTORNEY-See Power-of-ATTORNEY (No.48) "
what is the difference between a transfer and a transfer of a lease?,".                             Exception      Articles of any Association not formed for profit and registered under section 25 of the Companies Act, 1956 (1 of 1950). See also Memorandum of Association of a Company (No.39) ASSIGNMENT —See CONVEYANCE (No.23), TRANSFER (No.62) and TRANSFER of LEASE (No.63). as the case may be ATTORNEY-See Power-of-ATTORNEY (No.48) "
what is the purpose of an arbitrator's decision?,",  that is to say any decision in writing by an arbitrator or umpire not being an award directing a partition, on a reference made otherwise than by an order of the Court in the course of a suit— "
what is the difference between an umpire and an arbitrator?,",  that is to say any decision in writing by an arbitrator or umpire not being an award directing a partition, on a reference made otherwise than by an order of the Court in the course of a suit— "
what is the difference between an arbitrator and an umpire?,",  that is to say any decision in writing by an arbitrator or umpire not being an award directing a partition, on a reference made otherwise than by an order of the Court in the course of a suit— "
what is the maximum value of property that can be awarded in a property award?,"(a) where the amount or value of the property to which the award relates as set forth in such award does not  exceed Rs. 1,000. "
what is the maximum amount of property that can be awarded in a property award?,"(a) where the amount or value of the property to which the award relates as set forth in such award does not  exceed Rs. 1,000. "
how does the tax amount vary depending on the type of purchase?,"(b) if it exceeds Rs. 1,000 but does not exceed Rs. 5,000. and for every additional Rs. 1,000 or part thereof in excess of Rs. 5,000. "
how much is the duty for a bottomry bond?,The same duty as a BOTTOMRY BOND (No.16) or such amount. Proper Stamp-duty Twenty-seven-rupees. One rupee and fifty paise subject to a maximum of one hundred and thirty-eight rupees. 
what is the maximum amount of proper stamp-duty?,The same duty as a BOTTOMRY BOND (No.16) or such amount. Proper Stamp-duty Twenty-seven-rupees. One rupee and fifty paise subject to a maximum of one hundred and thirty-eight rupees. 
what is the difference between the two categories of secured transactions?," as defined by section 2(5) not being  a DEBENTURE  and not being otherwise provided for by  this Act, or by the Court Fees Act, 1870— Where the amount or value secured does not exceed Rs. 10; Where it exceeds Rs. 10 and does not exceed Rs. 50; "
what is the maximum amount of money that can be secured under the act?," as defined by section 2(5) not being  a DEBENTURE  and not being otherwise provided for by  this Act, or by the Court Fees Act, 1870— Where the amount or value secured does not exceed Rs. 10; Where it exceeds Rs. 10 and does not exceed Rs. 50; "
what is the difference between the two types of secured transactions?," as defined by section 2(5) not being  a DEBENTURE  and not being otherwise provided for by  this Act, or by the Court Fees Act, 1870— Where the amount or value secured does not exceed Rs. 10; Where it exceeds Rs. 10 and does not exceed Rs. 50; "
what does a bottomry bond enable a master of a sea-going ship to do?,"16. BOTTOMRY BOND, that is to  say, any            instrument whereby the master of a sea-going ship to enable him the preserve the ship or prosecute her voyage— "
what is a bottomry bond?,"16. BOTTOMRY BOND, that is to  say, any            instrument whereby the master of a sea-going ship to enable him the preserve the ship or prosecute her voyage— "
what is the difference between a lease and a contract?,(Including any instrument by which any instrument previously executed is cancelled) if OF LEASE 
what is the purpose of declaring a trust?,     DECLARATION OF ANY TRUST- Se TRUST (No.64).           *                                         * DEPOSIT OF TITLE -DEEDS—See 
"what is the purpose of the deposit of title-deeds, pawn or pledge in the agreement?","AGREEMENT relating to DEPOSIT OF TITLE-DEEDS, PAWN OR PLEDGE (No.6).      DISSOLUTION OF PARTNERSHIP-See PARTNERSHIP (No. 46). "
what is the purpose of a divorce decree?,"- Instrument of, that is to say, instrument by which any person effects the dissolution  of his marriage.      DOWER- Instrument of –See SETTLEMENT (No.58).     DUPLICATE- See COUNTERPART                   (No. 25). "
what is the difference between a divorce and a separation agreement?,"- Instrument of, that is to say, instrument by which any person effects the dissolution  of his marriage.      DOWER- Instrument of –See SETTLEMENT (No.58).     DUPLICATE- See COUNTERPART                   (No. 25). "
what is the difference between an instrument of further charge and a mortgage?,"—Instrument of that is to say, any  instrument imposing a further charge on mortgaged  property—        (a) When the original mortagage  is one of the description referred to in clause (a) Article No. 40 ( That is, with possession);         (b) When such mortage is one of the descriptions referred to in clause (b) of Article No . 40 ( That is, without possession)—        (i) if at the time of execution of the instrument of further charge  possession of the property is given or agreed to be given under such instrument;          (ii) If the possession is not so given. "
what is the difference between a mortgage with and without possession?,"—Instrument of that is to say, any  instrument imposing a further charge on mortgaged  property—        (a) When the original mortagage  is one of the description referred to in clause (a) Article No. 40 ( That is, with possession);         (b) When such mortage is one of the descriptions referred to in clause (b) of Article No . 40 ( That is, without possession)—        (i) if at the time of execution of the instrument of further charge  possession of the property is given or agreed to be given under such instrument;          (ii) If the possession is not so given. "
what is the instrument of not being a settlement?,"-Instrument of, not being a SETTLEMENT (No. 58) or WILL or TRANSFER (No. 62). "
what is the maximum amount of duty that can be paid on a property?,*                                *                           * One hundred rupees The same duty as a CONVEYANCE (No. 23) for a consideration equal to the value of the property of greatest value as set forth in such instrument. The same duty as a CONVEYANCE (No. 23) for a consideration equal to the amount of the further charge secured by such instrument. The same duty as a CONVEYANCE (No. 23) for a consideration equal to the total amount of the charge (including the original mortgage and any further charge already made) less the duty already paid on such original mortgage and further charge. 
what is the maximum annual rent reserved for an exemption lease?,"                                 Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is         ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is the term of an exemption lease?,"                                 Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is         ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is the maximum term of an exemption lease?,"                                 Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is         ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is an exemption lease?,"                                 Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is         ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is the purpose of an exemption lease?,"                                 Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is         ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is the average annual rent reserved for an exemption lease?,"                                 Exemption       Lease; executed in the case of a cultivator and for the purpose of cultivation (Including a lease of trees for the production of food or drink) without the payment or delivery of any fine or premium, when a definite term is         ex-pressed and such term does not exceed one year or when the average annual rent reserved does not exceed one hundred rupees. "
what is the difference between a debtor and a creditor?," that is to say, any agreement between a debtor and his creditors that the latter shall, for a specified time, suspend their claims and allow the debtor to carry on business at his own discretion. "
what is a debt settlement agreement?," that is to say, any agreement between a debtor and his creditors that the latter shall, for a specified time, suspend their claims and allow the debtor to carry on business at his own discretion. "
what is the purpose of a debt settlement agreement?," that is to say, any agreement between a debtor and his creditors that the latter shall, for a specified time, suspend their claims and allow the debtor to carry on business at his own discretion. "
"what is the purpose of section 26 of the companies act, 1956?","under section 26 of the Companies Act, 1956              (1 of 1956). "
"what is the companies act, 1956 (1 of 1956)?","                            Exemption       Memorandum of any association not formed for profit and registered under section 25 of the Companies Act, 1956 (1 of 1956). "
